iter	RMSE
0	13171.97991
1	12984.60338
2	12739.70512
3	12513.84492
4	12312.34176
5	12078.01288
6	11870.25553
7	11690.90702
8	11497.22638
9	11327.15635
10	11190.9257
11	11026.12954
12	10924.77101
13	10783.65663
14	10600.41584
15	10449.59969
16	10317.10503
17	10154.43739
18	9969.343554
19	9834.678815
20	9675.652288
21	9493.636605
22	9375.680957
23	9263.634266
24	9153.236336
25	9065.06884
26	8937.709207
27	8801.27804
28	8640.557428
29	8534.873188
30	8420.453487
31	8368.515074
32	8252.00506
33	8138.051903
34	8025.542157
35	7934.966532
36	7801.999545
37	7683.704656
38	7552.364125
39	7431.859623
40	7346.690001
41	7250.718994
42	7142.903787
43	7030.044098
44	6913.71071
45	6787.916789
46	6728.250959
47	6647.563815
48	6572.037877
49	6471.615831
50	6391.749243
51	6335.289912
52	6229.638832
53	6146.529413
54	6076.525153
55	6013.440197
56	5950.46379
57	5855.610759
58	5774.497594
59	5697.760691
60	5603.336401
61	5536.329515
62	5443.611123
63	5386.302823
64	5319.898703
65	5225.291095
66	5160.370083
67	5130.631239
68	5042.021579
69	4982.534762
70	4910.263489
71	4854.297052
72	4788.541518
73	4749.624741
74	4672.694414
75	4611.841944
76	4570.505111
77	4504.859167
78	4416.161444
79	4363.884776
80	4319.379197
81	4286.940358
82	4244.861793
83	4170.378442
84	4111.937514
85	4061.928804
86	4014.153601
87	3964.089228
88	3944.499118
89	3908.881547
90	3869.566639
91	3807.409205
92	3765.898701
93	3732.925365
94	3670.721603
95	3620.612308
96	3577.237022
97	3517.919011
98	3465.22575
99	3424.098053
100	3381.724969
101	3326.366162
102	3306.874814
103	3259.9453
104	3229.041443
105	3198.42724
106	3140.500046
107	3103.94156
108	3066.964955
109	3027.22756
110	2975.37896
111	2942.829384
112	2905.009968
113	2862.397714
114	2817.556169
115	2770.729919
116	2744.359152
117	2715.614557
118	2669.602497
119	2629.151514
120	2596.017613
121	2555.082764
122	2524.30298
123	2492.924054
124	2452.434544
125	2428.22418
126	2389.487928
127	2361.807079
128	2329.322918
129	2293.449779
130	2269.65885
131	2242.386956
132	2203.022193
133	2182.053439
134	2146.813662
135	2113.055161
136	2085.158238
137	2052.656358
138	2020.783746
139	1984.44911
140	1960.221997
141	1942.596725
142	1912.523055
143	1891.331261
144	1854.277051
145	1831.955499
146	1809.297689
147	1788.574381
148	1770.316838
149	1748.181553
150	1727.095274
151	1709.407782
152	1693.55241
153	1669.603326
154	1649.733958
155	1632.223136
156	1608.77106
157	1584.450312
158	1571.718271
159	1543.243236
160	1522.619641
161	1504.788055
162	1489.653138
163	1473.017654
164	1460.454765
165	1438.82524
166	1413.581694
167	1397.332464
168	1386.58775
169	1370.915727
170	1352.928483
171	1341.541167
172	1316.448221
173	1305.560864
174	1294.942521
175	1284.585625
176	1275.710475
177	1253.694643
178	1245.207235
179	1231.762271
180	1210.673743
181	1187.52239
182	1177.806382
183	1157.846812
184	1148.454894
185	1129.123916
186	1113.635107
187	1101.843108
188	1083.430861
189	1063.204945
190	1045.648103
191	1034.499782
192	1026.202149
193	1016.277926
194	999.6137299
195	987.7829475
196	970.4434991
197	960.4431309
198	950.6464064
199	934.122802
200	924.7019334
201	914.6727068
202	904.8101625
203	895.8125189
204	886.2277408
205	876.8027592
206	867.5349095
207	858.4215935
208	851.2053221
209	842.347036
210	826.5182157
211	817.9877752
212	809.6004099
213	794.5738372
214	782.8310612
215	774.8660766
216	767.0347979
217	755.781207
218	748.1875488
219	740.7213765
220	729.9366796
221	722.6972161
222	715.5793839
223	702.5573774
224	692.4190255
225	685.6620278
226	676.5301436
227	671.2098215
228	661.8149831
229	656.6628437
230	648.1039981
231	643.1592129
232	634.705631
233	629.9226311
234	622.113048
235	614.0049284
236	605.2223886
237	596.8714779
238	589.145057
239	584.0498124
240	576.8994328
241	571.9477169
242	565.0625346
243	557.2924608
244	549.4918493
245	543.2911641
246	536.3579349
247	529.0394596
248	521.5688266
249	514.464508
250	507.5632381
251	500.5416802
252	492.8355929
253	486.1152312
254	479.6531689
255	473.2649799
256	467.0245458
257	461.2389536
258	457.3158918
259	454.02434
260	450.2765517
261	444.1167913
262	436.6570294
263	430.7892278
264	425.0644133
265	418.1044573
266	412.6477979
267	406.8778117
268	401.47644
269	396.1913615
270	391.0199286
271	385.2016178
272	379.4143339
273	373.8775166
274	368.647018
275	363.6143885
276	358.3722729
277	353.6023398
278	350.5396244
279	347.6882667
280	344.9270448
281	342.1093431
282	339.5046125
283	335.357796
284	331.2992207
285	327.3268485
286	323.5491235
287	319.8676653
288	316.262673
289	312.7326722
290	308.8716271
291	306.1333629
292	303.5108452
293	302.4501333
294	298.773755
295	295.1788361
296	291.6635901
297	290.6851073
298	287.266778
299	284.0064149
300	280.8161383
301	278.1084602
302	275.1645296
303	272.6430167
304	269.7608377
305	266.9350804
306	264.0605583
307	261.12386
