iter	Passed	Remaining
0	5	5004
1	10	5096
2	14	4906
3	23	5771
4	29	5813
5	35	5911
6	42	6080
7	47	5885
8	54	5999
9	60	5946
10	65	5915
11	70	5804
12	75	5746
13	80	5634
14	86	5659
15	91	5633
16	97	5662
17	104	5723
18	110	5693
19	119	5856
20	136	6373
21	144	6441
22	154	6542
23	158	6463
24	164	6423
25	169	6343
26	174	6294
27	181	6297
28	186	6247
29	192	6209
30	198	6218
31	203	6165
32	208	6107
33	212	6031
34	219	6043
35	225	6031
36	232	6052
37	238	6028
38	244	6032
39	250	6014
40	256	6003
41	267	6110
42	277	6170
43	319	6939
44	329	6992
45	336	6984
46	345	6996
47	352	6991
48	360	7005
49	368	6998
50	374	6976
51	386	7039
52	396	7090
53	402	7047
54	409	7036
55	415	6997
56	421	6972
57	429	6967
58	434	6932
59	444	6956
60	454	6997
61	459	6954
62	466	6943
63	473	6929
64	478	6877
65	482	6829
66	489	6812
67	492	6755
68	497	6709
69	500	6653
70	506	6624
71	510	6577
72	514	6536
73	520	6507
74	523	6461
75	528	6423
76	532	6378
77	541	6405
78	547	6378
79	552	6359
80	557	6328
81	562	6301
82	568	6277
83	572	6241
84	576	6207
85	581	6174
86	587	6169
87	592	6144
88	597	6112
89	603	6103
90	610	6097
91	614	6068
92	620	6056
93	624	6018
94	628	5986
95	633	5963
96	637	5937
97	643	5922
98	648	5904
99	652	5872
100	656	5842
101	660	5813
102	665	5791
103	668	5761
104	672	5731
105	676	5704
106	682	5695
107	687	5677
108	692	5664
109	699	5662
110	704	5639
111	709	5623
112	714	5607
113	728	5665
114	732	5635
115	735	5607
116	740	5585
117	743	5559
118	748	5541
119	753	5523
120	756	5497
121	760	5474
122	764	5448
123	767	5424
124	771	5398
125	774	5372
126	787	5415
127	794	5415
128	799	5397
129	804	5386
130	810	5378
131	815	5363
132	821	5352
133	828	5355
134	833	5342
135	840	5338
136	845	5328
137	850	5312
138	855	5300
139	866	5321
140	877	5345
141	886	5356
142	902	5407
143	909	5405
144	915	5399
145	929	5437
146	940	5457
147	954	5492
148	970	5543
149	981	5563
150	993	5585
151	1005	5609
152	1014	5618
153	1028	5648
154	1041	5675
155	1052	5696
156	1063	5708
157	1070	5706
158	1078	5703
159	1090	5723
160	1099	5731
161	1108	5735
162	1115	5728
163	1132	5771
164	1143	5788
165	1150	5781
166	1164	5808
167	1173	5810
168	1186	5833
169	1197	5847
170	1203	5834
171	1214	5846
172	1226	5864
173	1242	5896
174	1253	5910
175	1262	5909
176	1269	5904
177	1279	5909
178	1286	5902
179	1296	5904
180	1306	5909
181	1317	5921
182	1325	5918
183	1334	5919
184	1345	5925
185	1354	5928
186	1363	5927
187	1375	5940
188	1388	5959
189	1403	5984
190	1418	6009
191	1430	6021
192	1445	6046
193	1453	6038
194	1467	6056
195	1477	6059
196	1486	6060
197	1494	6053
198	1506	6065
199	1527	6109
200	1546	6146
201	1556	6147
202	1579	6201
203	1596	6229
204	1615	6266
205	1635	6302
206	1649	6318
207	1670	6359
208	1682	6367
209	1688	6353
210	1697	6349
211	1707	6348
212	1717	6346
213	1725	6337
214	1731	6321
215	1741	6321
216	1747	6307
217	1757	6303
218	1769	6311
219	1816	6440
220	1824	6429
221	1828	6408
222	1834	6390
223	1841	6378
224	1846	6359
225	1852	6344
226	1883	6415
227	1908	6461
228	1947	6556
229	1962	6569
230	1980	6591
231	2009	6651
232	2029	6680
233	2044	6693
234	2057	6698
235	2067	6693
236	2083	6708
237	2103	6734
238	2114	6733
239	2128	6739
240	2139	6739
241	2148	6730
242	2167	6752
243	2178	6750
244	2187	6741
245	2194	6724
246	2204	6719
247	2212	6708
248	2223	6706
249	2230	6691
250	2240	6684
251	2246	6668
252	2259	6671
253	2268	6663
254	2278	6656
255	2303	6695
256	2308	6675
257	2318	6666
258	2327	6658
259	2337	6653
260	2342	6631
261	2349	6618
262	2356	6604
263	2361	6584
264	2368	6569
265	2373	6548
266	2377	6527
267	2383	6511
268	2387	6489
269	2392	6468
270	2396	6446
271	2401	6427
272	2406	6407
273	2410	6385
274	2414	6366
275	2419	6347
276	2423	6326
277	2428	6306
278	2432	6286
279	2436	6266
280	2441	6247
281	2447	6231
282	2451	6210
283	2455	6189
284	2459	6170
285	2464	6152
286	2468	6133
287	2472	6113
288	2478	6098
289	2484	6082
290	2490	6068
291	2496	6054
292	2501	6036
293	2506	6017
294	2511	6001
295	2515	5983
296	2519	5964
297	2523	5945
298	2530	5932
299	2546	5942
300	2550	5923
301	2555	5905
302	2560	5890
303	2564	5871
304	2569	5854
305	2574	5838
306	2578	5821
307	2582	5802
308	2586	5784
309	2592	5771
310	2597	5755
311	2601	5737
312	2607	5722
313	2611	5706
314	2615	5688
315	2620	5671
316	2624	5655
317	2629	5638
318	2633	5622
319	2639	5608
320	2644	5593
321	2649	5577
322	2653	5561
323	2658	5546
324	2662	5529
325	2672	5525
326	2678	5512
327	2684	5500
328	2691	5490
329	2697	5476
330	2701	5460
331	2707	5447
332	2711	5430
333	2715	5415
334	2722	5404
335	2726	5388
336	2731	5373
337	2737	5361
338	2741	5346
339	2746	5332
340	2751	5318
341	2756	5303
342	2765	5296
343	2776	5294
344	2781	5280
345	2788	5271
346	2795	5260
347	2804	5254
348	2812	5246
349	2821	5239
350	2826	5226
351	2832	5214
352	2837	5200
353	2841	5185
354	2846	5172
355	2853	5162
356	2858	5148
357	2865	5138
358	2872	5128
359	2880	5121
360	2887	5111
361	2892	5098
362	2901	5091
363	2908	5081
364	2920	5080
